#PFSA=cfgfiles/PFSA_M2_3.cfg,XPFSA=cfgfiles/XPFSA_2_4_7.cfg,sequence length=5000,depth for estimating gamma=5,numbers of runs=100
xg,est
0.00550267,0.0306371
0.0161296,0.0255954
0.00649458,0.0319673
0.0154245,0.0332095
0.0258215,0.0131605
0.0274751,0.0128513
0.0288676,0.0118882
0.0110201,0.0119827
0.0240709,0.0113785
0.000327529,0.0206788
0.0196688,0.0301213
0.00773873,0.0247388
0.025179,0.0242816
0.0331136,0.0278286
0.130404,0.0173937
0.000183207,0.0158409
0.00229482,0.0184929
0.000123694,0.0192567
0.00435646,0.0207595
0.000142131,0.0090308
0.00230701,0.0108712
0.0116158,0.0107492
0.000397704,0.0109056
0.0138647,0.00818152
0.00492853,0.0101514
0.0264539,0.013908
0.0157837,0.00956811
0.0147198,0.0112827
0.00413448,0.00794898
0.0242093,0.012331
0.000474764,0.00745718
0.0241477,0.0146752
0.0218278,0.0126289
0.0020532,0.00846695
0.00521318,0.0128439
0.00133741,0.00836635
0.0344717,0.0185885
0.000110929,0.010793
0.0216437,0.0115267
0.00107517,0.0119621
0.000979709,0.0113994
0.000711118,0.0152799
0.0178101,0.0108909
0.00334218,0.0111062
0.0014958,0.0152565
0.0938207,0.0935669
0.0899259,0.0811369
0.103087,0.0929993
0.110563,0.104651
0.000138622,0.00983762
0.0184686,0.00542065
0.0179809,0.0037837
0.0170828,0.00425906
4.23022e-05,0.0109868
0.000154832,0.00663887
0.0262923,0.0113018
0.0241426,0.0106417
0.00937533,0.0129637
0.0288478,0.0131833
0.0213137,0.0101403
8.15234e-06,0.0135672
0.0212664,0.0150827
0.0186374,0.0148289
0.00358963,0.0104558
2.63028e-05,0.0134921
0.00830565,0.036415
0.0528533,0.0420453
0.0522425,0.0415814
6.69219e-06,0.011479
0.026362,0.0131888
0.0284514,0.00971337
1.5532e-05,0.0105881
0.00421696,0.0133885
0.0115176,0.00848727
0.0228407,0.0132515
0.0730813,0.0681316
0.0246608,0.0676246
0.0749927,0.0766466
0.0256551,0.0437229
0.0364934,0.0531708
0.0284798,0.0497394
0.0155972,0.0424716
0.0518785,0.0455665
0.0492952,0.0461845
0.0515652,0.0526145
0.0268299,0.0162925
0.000781604,0.0136861
0.0260515,0.0178017
0.0340504,0.0211567
0.0242828,0.0111563
0.0383519,0.02899
0.0249824,0.0224778
0.00237611,0.0278557
0.0148539,0.031524
0.000609171,0.0281231
0.00199971,0.0100999
0.00391543,0.0124043
0.00308693,0.00930034
0.0020052,0.00393327
0.0189897,0.0104819
